Year,Kind,Bitrate,Sample Rate,Bit Depth,Album Artist,Album,Artist,File Name,Orig Filename,Track №,Tracks,Duration,Title,Subtitle,Genre,Encoder,Encoding Info,File Owner,Copyright,Lyricist,Composer,Conductor,Description,Credits,Involved,BPM,Key,Encoding Time,Tagging Time,Date Created
2021,WAVE,0 kbps,0 Hz,0 Bit,,Gang of Four,,Karaoke (All instruments and background vocals).wav,,1,4,00:00,All instruments and background vocals,,Stem,iZotope RX7,,,,,,,Stem,,,,,,,"11/24/21, 3:14 AM"
2021,WAVE,0 kbps,0 Hz,0 Bit,,Gang of Four,,Lead Vocal(s).wav,,2,4,00:00,Lead Vocal(s),,Acapella,iZotope RX7,,,,,,,Acapella,,,,,,,"11/24/21, 3:15 AM"
2021,WAVE,0 kbps,0 Hz,0 Bit,,Gang of Four,,Full Mix.wav,,3,4,00:00,Full Mix,,Mix,iZotope RX7,,,,,,,Mix,,,,,,,"11/24/21, 3:15 AM"
2021,WAVE,0 kbps,0 Hz,0 Bit,,Gang of Four,,Instrumental.wav,,4,4,00:00,Instrumental,,Instrumental,iZotope RX7,,,,,,,Instrumental,,,,,,,"11/24/21, 3:15 AM"
